x,frequency
145.79,3e-05
-128.8,0.0001
154.74,2e-05
-133.27,7e-05
-164.57,2e-05
121.64,0.0002
-160.1,3e-05
-151.16,1e-05
-175.31,1e-05
-159.21,3e-05
157.42,1e-05
177.1,2e-05
150.26,3e-05
164.57,1e-05
170.84,1e-05
159.21,2e-05
-146.69,2e-05
-154.74,1e-05
-134.16,6e-05
129.69,8e-05
169.05,1e-05
-174.41,1e-05
-156.52,2e-05
174.41,1e-05
153.84,1e-05
-153.84,1e-05
152.05,4e-05
-152.95,3e-05
195.88,1e-05
-161.0,1e-05
-144.9,3e-05
141.32,3e-05
-157.42,2e-05
142.21,5e-05
166.36,1e-05
-172.62,1e-05
161.0,2e-05
162.79,2e-05
-169.94,1e-05
149.37,3e-05
163.68,1e-05
-188.72,1e-05
160.1,1e-05
177.99,1e-05
184.25,1e-05
169.94,1e-05
-193.2,1e-05
178.89,1e-05
-218.24,1e-05
