x,frequency
154.74,2e-05
135.95,4e-05
-144.9,0.00011
159.21,2e-05
127.9,0.00012
-141.32,5e-05
146.69,1e-05
140.42,7e-05
138.64,8e-05
-159.21,2e-05
158.31,3e-05
167.26,1e-05
148.47,2e-05
-129.69,6e-05
164.57,2e-05
150.26,3e-05
168.15,1e-05
-180.67,1e-05
-126.11,9e-05
-166.36,1e-05
134.16,9e-05
-157.42,2e-05
-148.47,4e-05
-155.63,1e-05
-174.41,2e-05
193.2,1e-05
-169.05,1e-05
-146.69,4e-05
-160.1,1e-05
-149.37,2e-05
-176.2,1e-05
-150.26,1e-05
211.09,1e-05
184.25,1e-05
-143.11,3e-05
163.68,1e-05
200.35,1e-05
-161.89,1e-05
-161.0,1e-05
157.42,2e-05
-186.94,1e-05
-167.26,1e-05
179.78,1e-05
