X-Value : Frequency
42.93, 0.01
44.72, 0.01
121.64, 0.01
48.3, 0.01
9.84, 0.01
15.21, 0.01
-35.78, 0.01
41.14, 0.01
-49.19, 0.01
113.59, 0.01
-33.99, 0.01
-9.84, 0.01
-78.71, 0.01
65.29, 0.01
-30.41, 0.01
52.77, 0.01
-92.13, 0.01
-55.45, 0.01
32.2, 0.01
-20.57, 0.01
-18.78, 0.01
-75.13, 0.01
-25.04, 0.01
-39.35, 0.01
39.35, 0.01
-67.08, 0.01
-2.68, 0.01
-26.83, 0.01
-3.58, 0.01
-1.79, 0.01
22.36, 0.01
-135.06, 0.01
0.89, 0.01
-24.15, 0.01
-15.21, 0.01
-16.1, 0.01
-58.14, 0.01
96.6, 0.01
-69.77, 0.01
3.58, 0.01
-46.51, 0.01
1.79, 0.01
35.78, 0.01
-5.37, 0.01
12.52, 0.01
