x,y
99.191,1
57.155,1
3.487,1
53.577,1
46.428,1
98.292,1
58.953,1
-28.712,1
10.645,1
51.795,1
132.273,1
17.798,1
-3.665,1
54.476,1
88.454,1
74.138,1
88.452,1
126.908,1
40.166,1
26.744,1
108.129,1
30.322,1
-69.868,1
71.464,1
-24.240,1
98.293,1
53.579,1
12.434,1
4.384,1
83.083,1
68.774,1
153.766,1
50.897,1
27.638,1
-9.928,1
36.582,1
55.368,1
38.376,1
12.434,1
94.704,1
16.009,1
61.629,1
68.778,1
-8.138,1
109.021,1
-35.865,1
104.544,1
49.109,1
-3.665,1
29.424,1
38.373,1
26.743,1
139.439,1
51.795,1
83.087,1
54.476,1
106.341,1
81.303,1
36.585,1
48.211,1
8.856,1
126.918,1
-17.082,1
66.993,1
56.264,1
-9.033,1
64.305,1
77.725,1
72.360,1
94.717,1
-17.974,1
-18.872,1
45.525,1
-8.140,1
126.018,1
27.637,1
12.434,1
117.077,1
64.314,1
33.900,1
140.343,1
29.426,1
74.139,1
48.214,1
66.094,1
104.549,1
51.789,1
83.096,1
4.382,1
66.088,1
36.582,1
98.288,1
66.995,1
-0.087,1
74.144,1
36.585,1
114.388,1
21.374,1
91.131,1
60.729,1
100.979,1
19.590,1
96.502,1
58.942,1
85.774,1
106.332,1
-24.239,1
72.366,1
36.584,1
47.316,1
44.636,1
46.425,1
60.735,1
37.479,1
1.701,1
-0.984,1
76.833,1
35.690,1
7.065,1
12.432,1
-38.550,1
38.371,1
37.478,1
86.663,1
78.621,1
64.312,1
76.820,1
44.630,1
83.975,1
65.204,1
86.672,1
53.577,1
95.612,1
69.678,1
